popDensity,unemployRate,medianAge,percentOfPopOver65,medianWorkerEarning,percentOfPopWithBADegreeOrHigher,percentOfPop_passedHighSchool,percentOfPopInEducation,percentOfPopInSciOrEngineering,percentOfPop_WhitePlus,percentOfPop_Black,percentOfPop_AsianPlus,percentOfPop_Other
868.15,0.50,43.80,23.75,36360.00,24.02,91.39,4.19,12.30,99.80,0.20,0.00,0.00
1056.46,0.50,42.20,24.62,23069.00,21.22,82.36,2.54,9.16,91.20,9.90,0.50,5.60
2616.24,0.00,21.70,16.86,5330.00,16.52,93.02,2.10,5.10,89.90,6.70,5.20,4.70
2916.24,0.50,34.30,16.30,36572.00,23.48,83.28,2.17,10.76,53.70,15.80,22.50,22.10
7289.54,0.50,35.20,15.92,52385.00,58.90,98.40,2.26,31.65,74.00,9.00,18.90,12.30
2259.07,0.00,45.40,27.60,31128.00,21.72,90.39,3.26,9.83,85.30,15.90,4.30,5.10
742.00,1.00,43.10,28.15,25400.00,11.65,81.01,3.69,4.54,91.10,11.20,0.00,3.90
2115.41,0.00,30.50,15.07,31452.00,42.70,95.99,3.64,22.59,81.60,8.40,10.40,6.90
3744.06,1.00,34.50,15.68,29874.00,13.87,80.88,2.46,4.65,68.70,26.50,1.20,14.40
907.28,0.50,32.70,17.42,38557.00,30.16,87.70,5.97,13.09,95.80,2.30,1.40,6.10
873.28,1.00,39.10,22.26,27275.00,17.35,81.22,5.95,5.75,91.30,1.70,0.00,15.40
140.56,0.00,46.80,26.00,25909.00,12.83,79.04,5.48,4.43,60.00,39.70,0.00,0.30
143.59,0.00,46.20,21.70,29737.00,9.44,79.96,4.23,2.56,87.90,9.90,0.30,8.10
598.77,0.50,38.10,15.90,32451.00,17.80,81.80,5.68,3.19,67.10,30.70,1.00,5.40
244.28,1.00,41.80,21.00,28056.00,14.15,81.59,5.09,5.02,48.80,50.70,0.50,0.00
1.93,0.00,29.10,9.90,53750.00,8.70,78.99,2.90,4.35,47.80,1.00,24.10,72.50
79.67,1.00,23.50,2.60,19821.00,2.51,77.82,2.51,0.00,3.60,0.00,0.00,99.00
34.38,0.00,44.10,15.10,31058.00,29.66,91.48,2.63,12.04,75.10,0.70,9.90,31.90
4.17,1.00,30.70,12.70,26750.00,13.50,89.50,1.50,4.00,54.10,2.10,0.00,82.00
46.42,1.00,26.00,5.90,15000.00,1.87,82.24,0.00,1.87,6.50,0.00,0.00,106.50
373.01,0.50,36.60,18.90,26807.00,14.31,79.42,2.60,6.02,77.00,5.20,2.90,26.50
2890.11,0.50,35.80,16.40,30763.00,23.68,87.86,3.80,9.74,85.80,5.00,3.00,13.30
692.67,1.00,28.60,7.20,16355.00,6.25,49.31,1.59,2.42,75.70,0.50,0.00,24.60
803.38,1.00,41.50,20.30,22091.00,14.98,82.95,3.12,5.93,77.90,20.00,1.50,8.30
295.58,0.50,32.00,16.30,24938.00,5.69,73.35,0.00,4.19,81.40,21.40,2.60,5.40
686.05,0.00,31.60,7.00,35976.00,25.07,79.87,2.68,10.81,90.70,1.70,3.80,8.90
521.81,1.00,35.00,15.40,21754.00,7.24,75.13,1.12,3.67,98.10,1.10,0.90,0.90
2524.88,1.00,32.90,11.60,32440.00,15.30,78.34,2.55,6.07,78.00,7.20,6.30,18.30
5856.67,0.50,36.50,11.50,39787.00,34.27,85.04,2.06,14.88,74.80,2.50,10.70,20.20
2325.97,0.50,42.50,15.50,53018.00,34.80,91.20,2.07,16.03,80.70,5.00,11.80,15.30
1878.25,0.50,43.80,18.30,49199.00,40.40,87.83,2.53,20.07,86.40,1.80,11.80,8.40
1576.67,1.00,37.50,17.50,25914.00,17.02,87.42,2.03,8.60,78.70,3.90,1.70,24.80
1032.15,1.00,27.90,10.50,17364.00,17.56,83.18,2.48,8.18,88.40,3.00,2.20,14.40
8605.82,0.50,30.40,3.90,31422.00,39.59,89.18,1.73,16.50,74.40,9.50,7.40,17.00
1375.15,1.00,25.60,9.40,15498.00,28.58,94.91,3.44,11.99,97.50,2.00,0.30,3.00
713.12,0.50,44.60,18.60,38772.00,20.23,85.72,3.92,7.61,91.00,5.20,3.10,6.20
2909.33,1.00,34.80,12.40,30570.00,13.34,83.04,1.34,5.66,64.80,24.20,3.30,17.70
5973.63,1.00,33.80,10.70,26664.00,14.84,75.34,1.48,5.81,43.20,38.40,4.30,24.00
1832.23,0.50,40.20,15.80,42415.00,23.32,85.73,2.79,8.22,87.20,7.30,3.00,10.60
1374.04,0.00,49.50,19.30,39067.00,27.35,90.74,5.25,7.28,68.70,30.00,2.30,7.20
723.48,0.50,38.80,13.90,35866.00,5.38,86.92,0.00,3.85,100.00,0.00,0.00,2.40
3235.18,0.00,24.50,12.80,13794.00,28.74,95.84,3.73,15.00,80.70,10.10,9.40,5.60
681.68,1.00,37.30,14.50,32191.00,11.94,83.18,1.73,6.91,86.10,14.40,0.00,4.30
1.48,0.50,64.30,48.30,32875.00,43.52,94.25,12.35,14.30,94.60,0.00,0.20,5.20
1570.86,0.00,45.20,23.90,32246.00,28.66,89.87,5.83,10.80,80.90,12.70,6.90,6.50
66.90,1.00,28.90,6.50,21850.00,12.86,50.21,0.47,4.37,72.20,8.70,0.00,19.10
777.74,0.00,48.70,24.50,35824.00,24.96,90.29,3.99,9.37,91.40,5.40,3.20,2.70
830.26,0.00,39.40,8.80,18380.00,3.93,72.16,0.78,1.29,33.60,66.70,0.00,0.50
416.71,0.00,42.30,13.30,32500.00,8.41,68.22,4.36,1.56,100.00,0.00,0.00,0.00
255.74,1.00,50.60,28.40,25132.00,9.33,59.98,3.97,3.27,59.00,42.00,0.00,1.40
1131.09,0.00,42.60,19.80,44438.00,38.45,90.16,6.06,18.03,54.70,32.00,8.30,8.60
4666.20,0.00,33.50,7.70,51670.00,34.30,92.15,3.16,15.35,52.60,8.70,54.50,52.10
3705.56,0.50,37.20,14.80,30581.00,16.40,82.01,2.46,5.58,14.00,1.50,88.10,41.80
